x_value,total_1,total_2
0,1000,1000
1,997,1001
2,1003,999
3,1002,994
4,1007,989
5,1015,992
6,1017,991
7,1023,986
8,1017,987
0,1000,1000
1,1008,997
2,1008,998
3,1016,1002
4,1012,1004
5,1007,1002
6,1010,998
7,1008,997
8,1013,1003
9,1014,1002
10,1016,1006
11,1013,1006
12,1007,1012
13,1002,1014
14,996,1018
15,993,1019
16,989,1025
17,990,1029
18,990,1034
19,991,1037
20,994,1038
21,999,1033
22,997,1031
23,997,1027
24,995,1024
25,993,1020
26,994,1016
27,998,1020
28,992,1021
29,996,1024
30,999,1029
31,1001,1025
32,1007,1029
33,1012,1031
34,1013,1029
35,1015,1028
36,1013,1029
37,1010,1035
38,1013,1036
39,1010,1042
40,1004,1038
41,1004,1035
42,1005,1031
43,1000,1031
44,994,1031
45,988,1027
46,991,1030
47,986,1029
48,984,1032
49,982,1030
50,989,1031
51,989,1037
52,993,1035
53,997,1041
54,998,1047
55,1003,1050
56,999,1050
57,1000,1056
58,1001,1053
59,1005,1049
60,1006,1049
61,1002,1047
