x_value,total_1,total_2
0,1000,1000
1,1000,997
2,999,993
3,997,990
4,991,990
5,985,992
6,990,995
7,991,998
8,988,997
9,982,992
10,987,990
11,986,992
12,987,996
13,990,992
14,991,996
15,998,996
16,994,1001
17,996,1000
18,999,998
19,1000,1001
20,1007,1002
21,1011,1000
22,1009,998
23,1014,1001
24,1011,999
25,1012,1003
26,1007,1003
27,1001,1009
28,1001,1007
29,1007,1003
30,1004,1002
31,999,1004
32,998,1000
33,998,997
34,992,1002
35,993,1003
36,994,1009
37,995,1009
38,996,1015
39,997,1020
40,1000,1020
41,1008,1025
42,1002,1030
43,1005,1027
0,1000,1000
1,998,998
2,992,999
3,993,1005
4,994,1001
5,991,998
6,987,999
7,994,1005
8,992,1001
9,1000,1003
10,999,1005
11,1005,1001
12,1000,1004
13,1006,1003
14,1010,998
15,1010,996
16,1017,992
17,1020,988
